title,description,employer,location,job_url,tags,featured
Senior Software Engineer (m/w/d),"Join Landis+Gyr as a Senior Software Engineer in Katowice, Poland.",Landis+Gyr,"Katowice, Poland",https://rejobs.org/en/renewable-energy-jobs/109458-senior-software-engineer-mwd-landisgyr,Energy Analytics | IoT | Software Development,False
Offshore Technician,"Join RWE Renewables as an Offshore Technician in Workington, UK.",RWE Renewables,"Workington, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/110134-offshore-technician-rwe-renewables,SCADA | Turbine Operations | Wind O&M | Safety Management | Offshore Wind Energy,False
"Director, Public Affairs","Join TeraWatt Infrastructure as Director of Public Affairs in San Francisco, CA.",TeraWatt Infrastructure,"San Francisco, California, United States",https://rejobs.org/en/renewable-energy-jobs/109998-director-public-affairs-terawatt-infrastructure,Advocacy & Policy | Energy Policy | Stakeholder Management | Urban Planning | Community Energy | EV Charging Infrastructure,False
Data Scientist,"Join Ecotricity as a Data Scientist in Stroud, UK, and support renewable energy solutions.",Ecotricity,"Stroud, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/109915-data-scientist-ecotricity,Distributed Energy Resources | Energy Analytics | Optimization | Python Development,False
Technical Project Manager (m/w/d),"Join Global Wind Service as a Technical Project Manager in Fredericia, Denmark.",Global Wind Service,"Fredericia, Denmark",https://rejobs.org/en/renewable-energy-jobs/109554-technical-project-manager-mwd-global-wind-service,Compliance | Risk Management | Stakeholder Management | Technical Support | Project Management | Offshore Wind Energy,False
Energy Modelling Analyst,"Join Aurora Energy Research as an Energy Modelling Analyst in São Paulo, Brazil.",Aurora Energy Research,"São Paulo, Brazil",https://rejobs.org/en/renewable-energy-jobs/110169-energy-modelling-analyst-aurora-energy-research,Energy Analytics | Energy Economics | Quantitative Analysis | System Analysis | Energy Modeling,False
Operations and Maintenance Engineer,"Join Ormat Technologies as an Operations and Maintenance Engineer in Visalia, California.",Ormat Technologies,"Visalia, California, United States",https://rejobs.org/en/renewable-energy-jobs/110300-operations-and-maintenance-engineer-ormat-technologies,Battery Management Systems | Power Electronics | SCADA | Plant Operations | Preventive Maintenance,False
Director of Origination,"Join GridStor as Director of Origination in Portland, San Francisco, or Denver. Drive energy storage agreements and enjoy unlimited PTO.",GridStor,"Portland, Oregon, United States",https://rejobs.org/en/renewable-energy-jobs/110032-director-of-origination-gridstor,Battery Technology | Power Purchase Agreement | Project Management | Sales and Marketing,False
Director of Capacitor Production,"Join Helion Energy as Director of Capacitor Production in Everett, USA. Lead capacitor manufacturing growth and strategy.",Helion Energy,"Everett, United States",https://rejobs.org/en/renewable-energy-jobs/109765-director-of-capacitor-production-helion-energy,Clean Energy Solutions | Operations Management | Production Planning | Manufacturing | Engineering Management,False
Director of Policy & Regulatory Strategy,"Join TeraWatt Infrastructure as Director of Policy & Regulatory Strategy in San Francisco, CA. Lead policy advocacy for EV charging solutions.",TeraWatt Infrastructure,"San Francisco, California, United States",https://rejobs.org/en/renewable-energy-jobs/109992-director-of-policy-regulatory-strategy-terawatt-infrastructure,Distributed Energy Resources | Clean Energy Innovation | Energy Policy | Regulatory Compliance | EV Charging Infrastructure | Transportation Electrification,False
Technician Relations Manager (m/w/d),"Join Global Wind Service as a Technician Relations Manager in Romania, Spain, or Poland.",Global Wind Service,"Constanța, Romania",https://rejobs.org/en/renewable-energy-jobs/109556-technician-relations-manager-mwd-global-wind-service,Customer Management | Energy Access | Talent Acquisition & Management | Human Resources,False
Venue Sales Representative,"Join Octopus Energy as a Venue Sales Representative in Kingston upon Hull or York, UK. Engage with customers face-to-face to promote energy tariffs and low-carbon technologies. Enjoy a competitive salary plus unlimited commission.",Octopus Energy,"Kingston upon Hull, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/109384-venue-sales-representative-octopus-energy,Community Solar | Energy Access | Sales and Marketing | Customer Management,False
DM - Electrical,"Join ib vogt as DM - Electrical in Kudligi, India, overseeing solar project installations.",ib vogt,"Kudligi, India",https://rejobs.org/en/renewable-energy-jobs/109621-dm-electrical-ib-vogt,EPC Management | Power Electronics | SCADA | Solar Installation | Solar O&M | Electrical Engineering,False
Senior Accountant,"Join Zero Homes as a Senior Accountant in Denver, CO, focusing on financial reporting and process optimization.",Zero Homes,"Denver, Colorado, United States",https://rejobs.org/en/renewable-energy-jobs/110079-senior-accountant-zero-homes,Energy Economics | Financial Services | Accounting & Finance,False
Senior B2C Product Manager (m/w/d),"Join gridX as a Senior B2C Product Manager in Aachen or Munich, Germany.",gridX,"Aachen, Germany",https://rejobs.org/en/renewable-energy-jobs/110196-senior-b2c-product-manager-mwd-gridx,UI/UX Design | Energy Management | Product Development,False
Support Development Engineer,Join EnergyHub as a Support Development Engineer in the United States!,EnergyHub,United States,https://rejobs.org/en/renewable-energy-jobs/109878-support-development-engineer-energyhub,Distributed Energy Resources | IoT | Python Development,False
Senior Estimator,"Join All Energy Contracting as a Senior Estimator in Ashgrove, Australia.",All Energy Contracting Pty Ltd,"Ashgrove, Queensland, Australia",https://rejobs.org/en/renewable-energy-jobs/109794-senior-estimator-all-energy-contracting-pty-ltd,Battery Technology | EPC Management | Hybrid Power Plants | Photovoltaics | Wind Farms | Project Management,False
Microgrid Electrical Engineer,"Join Energy Toolbase as a Microgrid Electrical Engineer in Calgary, Canada.",Energy Toolbase,"Calgary, Canada",https://rejobs.org/en/renewable-energy-jobs/110219-microgrid-electrical-engineer-energy-toolbase,Distributed Energy Resources | Microgrids | Control Engineering | Electrical Engineering,False
Systems Administrator,"Join Octopus Energy as a Systems Administrator in London, UK.",Octopus Energy,"London, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/109377-systems-administrator-octopus-energy,Asset Management | Compliance | Energy Asset Valuation | Financial Services | Project Management | Accounting & Finance,False
Service Technician,Join British Solar Renewables as a Service Technician in the UK!,British Solar Renewables,"Colchester, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/109844-service-technician-british-solar-renewables,Battery Management Systems | Photovoltaic Systems | Power Electronics | Solar Installation | Solar O&M,False
Commercial Associate (m/w/d),"Join Aurora Energy Research as a Commercial Associate in Tokyo, Japan.",Aurora Energy Research,"Tokyo, Japan",https://rejobs.org/en/renewable-energy-jobs/110170-commercial-associate-mwd-aurora-energy-research,Customer Management | Salesforce | Energy Economics | Business Development,False
"Settlement, Data and Metering Quality Assurance Lead","Join Ecotricity as a Quality Assurance Lead in Stroud, UK!",Ecotricity,"Stroud, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/109916-settlement-data-and-metering-quality-assurance-lead-ecotricity,Customer Management | Energy Policy | Regulatory Compliance | Metering | Quality Assurance,False
Field Test Engineer (m/w/d),"Join Skeleton Technologies as a Field Test Engineer in Lappeenranta, Finland.",Skeleton Technologies,"Lappeenranta, Finland",https://rejobs.org/en/renewable-energy-jobs/109746-field-test-engineer-mwd-skeleton-technologies,Battery Management Systems | Battery Technology | Distributed Energy Resources | Power Electronics,False
Engineering Intern (m/w/d),"Join Charge Robotics as an Engineering Intern in San Leandro, California!",Charge Robotics,"San Leandro, California, United States",https://rejobs.org/en/renewable-energy-jobs/110266-engineering-intern-mwd-charge-robotics,Clean Energy Innovation | Industrial Engineering | Manufacturing | Mechanical Engineering | Electrical Engineering,False
"Manager, Financial Planning & Analysis","Join CleanChoice Energy as a Manager, Financial Planning & Analysis in Washington, D.C. Drive financial insights for renewable energy projects.",CleanChoice Energy,"Washington, D.C., United States",https://rejobs.org/en/renewable-energy-jobs/109841-manager-financial-planning-analysis-cleanchoice-energy,Energy Analytics | Energy Policy | Financial Services | Project Finance | Energy Economics,False
Test Development Engineer,"Join Brill Power as a Test Development Engineer in Oxford, UK, leading testing for battery systems. Enjoy a competitive salary and flexible hours.",Brill Power,"Oxford, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/110048-test-development-engineer-brill-power,Environmental Management | Power Electronics | Compliance | Battery Management Systems,False
Growth,Join Axle Energy in London as a Growth specialist!,Axle Energy,"London, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/110074-growth-axle-energy,Energy Access | Stakeholder Management | Sales and Marketing | Business Development,False
Senior Offshore Technician (m/w/d),Join Principle Power as a Senior Offshore Technician in Aberdeen or Viana do Castelo. Lead O&M activities for WindFloat projects and ensure safety compliance.,Principle Power,"Aberdeen, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/109899-senior-offshore-technician-mwd-principle-power,Turbine Operations | Wind O&M | Inventory Management | Regulatory Compliance | System Analysis | Safety Management | Offshore Wind Energy,False
Wind Technician (All Levels) (m/w/d),"Join NextEra Energy as a Wind Technician in Ruthton, MN.",NextEra Energy,"Ruthton, Minnesota, United States",https://rejobs.org/en/renewable-energy-jobs/109351-wind-technician-all-levels-mwd-nextera-energy,Blade Maintenance | Onshore Wind Energy | Turbine Operations | Wind O&M | Safety Management,False
Senior Construction Manager,"Join Ramboll as a Senior Construction Manager in Syracuse, NY, leading EPC projects.",Ramboll,"Syracuse, New York, United States",https://rejobs.org/en/renewable-energy-jobs/109386-senior-construction-manager-ramboll,EPC Management | Energy Trading | Safety Management | Construction | Project Management,False
PV Solar Field Technician II (m/w/d),"Join NextEra Energy as a PV Solar Field Technician II in Roaring Springs, Texas. Maintain solar PV systems and ensure safe operations.",NextEra Energy,"Roaring Springs, Texas, United States",https://rejobs.org/en/renewable-energy-jobs/109355-pv-solar-field-technician-ii-mwd-nextera-energy,Photovoltaic Systems | Power Electronics | Solar O&M | Asset Management | Regulatory Compliance | Safety Management | Electrical Engineering,False
Finance Director,"Join Octopus Energy as Finance Director in London, UK.",Octopus Energy,"London, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/109383-finance-director-octopus-energy,Energy Economics | Financial Services | Treasury Management,False
Field Sales Consultant,"Join Sunrun as a Field Sales Consultant in Hartford, Connecticut, and drive solar sales. Enjoy competitive pay and career growth.",Sunrun,"Hartford, Connecticut, United States",https://rejobs.org/en/renewable-energy-jobs/109331-field-sales-consultant-sunrun,Photovoltaic Systems | Solar Installation | Energy Access | Retail Sales | Sales and Marketing | Customer Management,False
HR Business Partner for Business and Commercial Functions (m/w/d),"Join ENERCON as an HR Business Partner in Taichung, Taiwan.",ENERCON,"Taichung, Taiwan",https://rejobs.org/en/renewable-energy-jobs/109339-hr-business-partner-for-business-and-commercial-functions-mwd-enercon,Energy Justice | Recruitment | Human Resources | Performance Management,False
CAD Design Engineer (m/f/d),"Join GOLDBECK SOLAR as a CAD Design Engineer in Farnborough, UK.",GOLDBECK SOLAR Group,"Farnborough, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/108857-cad-design-engineer-mfd-goldbeck-solar-group,EPC Management | Photovoltaic Systems | Power Electronics | Solar Installation | Solar Resource Assessment,False
Operations Intern,Join Fuse Energy as an Operations Intern in London! Gain hands-on experience in renewable energy.,Fuse Energy,"London, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/109009-operations-intern-fuse-energy,Distributed Energy Resources | Customer Management | Energy Access | Operations Management,False
Lead Electrical Engineer - Power Conversion Systems (m/w/d),"Lead Electrical Engineer at KK Wind Solutions in Hammel, Denmark.",KK Wind Solutions,"Hammel, Denmark",https://rejobs.org/en/renewable-energy-jobs/108809-lead-electrical-engineer-power-conversion-systems-mwd-kk-wind-solutions,EPC Management | Wind Farms | Power Electronics | Electrical Engineering,False
Senior Product Manager,"Join Uplight as a Senior Product Manager in Pune, India, focusing on energy management software.",Uplight,"Pune, India",https://rejobs.org/en/renewable-energy-jobs/108861-senior-product-manager-uplight,Demand Response | Distributed Energy Resources | Agile Methodologies | Product Development | UI/UX Design,False
Expression of Interest,"Join Brighte Capital in Sydney, Australia, and express your interest in future roles in Operations.",Brighte Capital,"Sydney, Australia",https://rejobs.org/en/renewable-energy-jobs/109054-expression-of-interest-brighte-capital,Clean Energy Innovation | Customer Management | Energy Access,False
Client Success Manager (m/w/d),"Join EnergyHub as a Client Success Manager in Brooklyn, NY, and drive client engagement in renewable energy.",EnergyHub,"Brooklyn, New York, United States",https://rejobs.org/en/renewable-energy-jobs/109064-client-success-manager-mwd-energyhub,Distributed Energy Resources | Customer Management | Software Development | Project Management,False
Senior Renewable Energy Consultant,"Join Veolia as a Senior Renewable Energy Consultant in Madrid, Spain.",Veolia,"Madrid, Spain",https://rejobs.org/en/renewable-energy-jobs/109216-senior-renewable-energy-consultant-veolia,Energy Policy | Feasibility Studies | Stakeholder Management | Energy Modeling | Project Management,False
Sales Expert,"Join Sunrun as a Sales Expert in Irvine, California, and drive solar sales!",Sunrun,"Irvine, California, United States",https://rejobs.org/en/renewable-energy-jobs/108666-sales-expert-sunrun,Solar Installation | Customer Management | Energy Access | Sales and Marketing,False
"Head Asset Engineering, Green Power","Lead Asset Engineering at Alpiq in Milan, Italy.",Alpiq,"Milan, Italy",https://rejobs.org/en/renewable-energy-jobs/109226-head-asset-engineering-green-power-alpiq,Wind Farms | Energy Due Diligence | Asset Management | Project Management | Engineering Management,False
Authorized Technician - Onshore Blades (m/w/d),Join Muehlhan Wind Service as an Authorized Technician in Scotland!,Muehlhan Wind Service,"Scotland, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/108732-authorized-technician-onshore-blades-mwd-muehlhan-wind-service,Blade Maintenance | Onshore Wind Energy | Turbine Operations | Wind O&M,False
Software Engineer,Join Scale Microgrids as a Software Engineer in New York City!,Scale Microgrids,"New York, NY, United States",https://rejobs.org/en/renewable-energy-jobs/109196-software-engineer-scale-microgrids,Distributed Energy Resources | Software Development | System Design | IoT | SCADA | Microgrids,False
Project Supervisor,Join Vestas as a Project Supervisor in Warrington or Aarhus!,Vestas,"Warrington, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/108702-project-supervisor-vestas,EPC Management | High Voltage | Offshore Wind Energy | Turbine Operations | Wind O&M | Project Management,False
Operations and Maintenance Engineer,"Join Ormat Technologies as an Operations and Maintenance Engineer in Brawley, California.",Ormat Technologies,"Brawley, California, United States",https://rejobs.org/en/renewable-energy-jobs/109203-operations-and-maintenance-engineer-ormat-technologies,Battery Management Systems | Battery Technology | Power Electronics | SCADA | Plant Operations | Preventive Maintenance,False
Cost Analytics Partner,"Join Vestas as a Cost Analytics Partner in Leça do Balio, Portugal.",Vestas,"Leça do Balio, Portugal",https://rejobs.org/en/renewable-energy-jobs/108704-cost-analytics-partner-vestas,Energy Analytics | Analytics | Performance Management | Cost Management | Stakeholder Management,False
"Manager, Real Estate (m/w/d)","Join Ecoplexus as a Manager, Real Estate in Durham, North Carolina.",Ecoplexus,"Durham, North Carolina, United States",https://rejobs.org/en/renewable-energy-jobs/108560-manager-real-estate-mwd-ecoplexus,Energy Due Diligence | Energy Policy | Land Management | Project Management,False
Finance Sr. Team Lead,"Lead a finance team at Vestas in Pasay, Philippines.",Vestas,"Pasay, Philippines",https://rejobs.org/en/renewable-energy-jobs/108701-finance-sr-team-lead-vestas,Accounting & Finance | Energy Governance | Financial Services | Operations Management | Leadership | Compliance,False
Development Engineer,"Join Scale Microgrids as a Development Engineer in Santa Monica or Oakland, CA.",Scale Microgrids,"Santa Monica, California, United States",https://rejobs.org/en/renewable-energy-jobs/109191-development-engineer-scale-microgrids,Battery Technology | Distributed Energy Resources | EPC Management | Microgrids | Photovoltaics,False
BESS Field Technician (m/w/d),"Join Arevon Energy as a BESS Field Technician in Poway, California!","Arevon Energy, Inc.","Poway, California, United States",https://rejobs.org/en/renewable-energy-jobs/109033-bess-field-technician-mwd-arevon-energy-inc,Battery Technology | Power Electronics | SCADA | Utility-Scale Solar | Health & Safety | Preventive Maintenance,False
Development Manager (m/w/d),"Join Adapture Renewables as a Development Manager in Oakland, USA.",Adapture Renewables,"Oakland, United States",https://rejobs.org/en/renewable-energy-jobs/109021-development-manager-mwd-adapture-renewables,EPC Management | Hybrid Power Plants | Solar Installation | Utility-Scale Solar | Project Management,False
Electrical Technician,"Join Enviva as an Electrical Technician in Epes, Alabama!",Enviva,"Epes, Alabama, United States",https://rejobs.org/en/renewable-energy-jobs/108834-electrical-technician-enviva,Bioenergy | Safety Management | Maintenance | Manufacturing | Electrical Engineering,False
Interconnection Specialist,"Join PowerFlex as an Interconnection Specialist in the US, managing utility interconnection for solar projects.",PowerFlex,"Los Angeles, United States",https://rejobs.org/en/renewable-energy-jobs/108941-interconnection-specialist-powerflex,Distributed Energy Resources | EPC Management | Utility-Scale Solar | Regulatory Compliance | Project Management,False
Hydrogen Plant - System Engineer,"Join Plug Power as a System Engineer in St. Gabriel, Louisiana, focusing on hydrogen generation systems.",Plug Power,"St. Gabriel, Louisiana, United States",https://rejobs.org/en/renewable-energy-jobs/108773-hydrogen-plant-system-engineer-plug-power,Electrolysis & Electrolyzers | Fuel Cell Technology | Power Electronics,False
Intern - Environment,"Join Boralex as an Environmental Intern in South Glens Falls, NY, and help tackle energy challenges sustainably.",Boralex,"South Glens Falls, New York, United States",https://rejobs.org/en/renewable-energy-jobs/109127-intern-environment-boralex,Environmental Management | Energy Policy | Environmental Impact Assessment | Permitting,False
Wind Turbine Technician I (m/w/d),"Join Vestas as a Wind Turbine Technician I in Sedalia, Alberta. Maintain wind turbines and ensure reliable energy. Enjoy a $3,300 sign-on bonus and comprehensive benefits.",Vestas,"Sedalia, Alberta, Canada",https://rejobs.org/en/renewable-energy-jobs/108703-wind-turbine-technician-i-mwd-vestas,Blade Maintenance | Onshore Wind Energy | Turbine Operations | Wind O&M | Safety Management | Training & Development,False
Senior Operations Expert,"Join Wärtsilä as a Senior Operations Expert in Tokyo, Japan.",Wärtsilä,"Tokyo, Japan",https://rejobs.org/en/renewable-energy-jobs/108716-senior-operations-expert-wartsila,Contract Management | Energy Asset Valuation | Technical Support | Operations Management,False
"Analyst, Finance & Investing","Join Arevon Energy as a Finance & Investing Analyst in New York, NY!","Arevon Energy, Inc.","New York, NY, United States",https://rejobs.org/en/renewable-energy-jobs/109037-analyst-finance-investing-arevon-energy-inc,Clean Energy Investment | Energy Asset Valuation | Energy Economics | Project Finance,False
"Manager, Project Finance","Join Nexamp as a Manager, Project Finance in Chicago, New York, or Boston!",Nexamp,"Chicago, United States",https://rejobs.org/en/renewable-energy-jobs/108563-manager-project-finance-nexamp,Battery Technology | Distributed Energy Resources | Photovoltaics | Utility-Scale Solar | Financial Services | Project Finance,False
Electrical Engineer (m/f/d),"Join GOLDBECK SOLAR as an Electrical Engineer in Farnborough, UK.",GOLDBECK SOLAR Group,"Farnborough, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/108858-electrical-engineer-mfd-goldbeck-solar-group,EPC Management | Photovoltaic Systems | Power Electronics | Utility-Scale Solar | Electrical Engineering,False
Graduate Intern - Building Energy Modeling and Analysis (m/w/d),"Join NLR as a Graduate Intern in Los Angeles, CA, focusing on building energy modeling.",National Renewable Energy Laboratory,"Los Angeles, United States",https://rejobs.org/en/renewable-energy-jobs/108547-graduate-intern-building-energy-modeling-and-analysis-mwd-national-laboratory-of-the-rockies,Battery Technology | Thermal Energy | Analytics | Control Engineering | Energy Resilience,False
"Supervisor, Design and Specification - Mechanical","Join Brightcore Energy as a Supervisor, Design and Specification in New York. Ensure project compliance with regulations and quality standards in energy efficiency. Enjoy a comprehensive benefits package and flexible work arrangements.",Brightcore Energy,"Brooklyn, New York, United States",https://rejobs.org/en/renewable-energy-jobs/109048-supervisor-design-and-specification-mechanical-brightcore-energy,Heat Pumps | Energy Auditing | Mechanical Engineering,False
Venue Sales Representative,Join Octopus Energy as a Venue Sales Representative in Teesside!,Octopus Energy,"Teesside, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/108848-venue-sales-representative-octopus-energy,Community Energy | Customer Management | Energy Access | Sales and Marketing,False
"Project Engineer, HVAC","Join Brightcore Energy as a Project Engineer in Brooklyn or Armonk, NY. Ensure project quality and compliance in HVAC systems. Enjoy competitive salary and comprehensive benefits.",Brightcore Energy,"Brooklyn, New York, United States",https://rejobs.org/en/renewable-energy-jobs/109046-project-engineer-hvac-brightcore-energy,Heat Pumps | Energy Modeling | Project Management | Mechanical Engineering,False
Cost Accounting Manager,"Join Commonwealth Fusion Systems as a Cost Accounting Manager in Devens, Massachusetts.",Commonwealth Fusion Systems,"Devens, Massachusetts, United States",https://rejobs.org/en/renewable-energy-jobs/109142-cost-accounting-manager-commonwealth-fusion-systems,Accounting & Finance | Cost Management | Energy Economics,False
Program Manager (m/w/d),"Join New Energy Nexus as a Program Manager in Seoul, South Korea, to drive clean energy initiatives.",New Energy Nexus,"Seoul, South Korea",https://rejobs.org/en/renewable-energy-jobs/109067-program-manager-mwd-new-energy-nexus,Community Energy | Program Management,False
Service Technician,"Join Zenobē as a Service Technician in Portsmouth, UK, and support clean power solutions.",Zenobē,"Portsmouth, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/109041-service-technician-zenobe,Battery Management Systems | Battery Technology | Fleet Management | Power Electronics,False
Development Analyst,"Join Matrix Renewables as a Development Analyst in Austin, Texas. Support renewable energy project development and collaborate with diverse teams.",Matrix Renewables,"Austin, Texas, United States",https://rejobs.org/en/renewable-energy-jobs/109088-development-analyst-matrix-renewables,EPC Management | Environmental Management | Utility-Scale Solar | Energy Economics | Energy Policy | Project Management,False
Team Leader Site Management (m/w/d),Lead site management for wind projects at Nordex in Hamburg.,Nordex,"Hamburg, Germany",https://rejobs.org/en/renewable-energy-jobs/108689-team-leader-site-management-mwd-nordex,EPC Management | Onshore Wind Energy | Wind Farms | Health & Safety | Construction | Project Management,False
"Data Scientist, Power Markets","Join Arevon Energy as a Data Scientist in Scottsdale, Arizona!","Arevon Energy, Inc.","Scottsdale, Arizona, United States",https://rejobs.org/en/renewable-energy-jobs/109039-data-scientist-power-markets-arevon-energy-inc,Energy Analytics | Energy Economics | Predictive Models,False
Senior Technical Support Engineer (m/w/d),"Join Tigo Energy as a Senior Technical Support Engineer in the UK, providing top-notch customer support.","Tigo Energy, Inc.",United Kingdom,https://rejobs.org/en/renewable-energy-jobs/108999-senior-technical-support-engineer-mwd-tigo-energy-inc,Customer Management | Energy Asset Valuation | Technical Support,False
Development Engineer,Join Scale Microgrids as a Development Engineer in California! Drive innovative microgrid projects and enjoy competitive benefits.,Scale Microgrids,"Santa Monica, California, United States",https://rejobs.org/en/renewable-energy-jobs/109192-development-engineer-scale-microgrids,Battery Technology | Distributed Energy Resources | EPC Management | Microgrids | Photovoltaics,False
Head of Asset Management (m/w/d),Lead Asset Management at Alpiq in Europe.,Alpiq,Switzerland,https://rejobs.org/en/renewable-energy-jobs/108454-head-of-asset-management-mwd-alpiq,Battery Management Systems | Cybersecurity | Green Hydrogen | Photovoltaic Systems | Repowering | Wind O&M | Health & Safety | Asset Management,False
BESS Project Engineer,"Join Alpiq as a BESS Project Engineer in Olten, Switzerland.",Alpiq,"Olten, Switzerland",https://rejobs.org/en/renewable-energy-jobs/108465-bess-project-engineer-alpiq,Battery Management Systems | Battery Technology | Energy Due Diligence | Project Management,False
Short-Term Power Trader - Balancing Expert,Join MET Group as a Short-Term Power Trader in Belgium!,MET Group,"Leuven, Belgium",https://rejobs.org/en/renewable-energy-jobs/108466-short-term-power-trader-balancing-expert-met-group,Energy Trading | Portfolio Management | Market Analysis | Risk Management,False
HR Temp Bilingual (m/w/d),"Join FirstLight Power as a Bilingual HR Temp in Montreal, Canada!",FirstLight Power,"Montreal, Canada",https://rejobs.org/en/renewable-energy-jobs/108334-hr-temp-bilingual-mwd-firstlight-power,Energy Access | Energy Governance | Human Resources | Training & Development,False
Territory Business Executive,Join d.light as a Territory Business Executive in Kenya!,d.light,"Nairobi, Kenya",https://rejobs.org/en/renewable-energy-jobs/107995-territory-business-executive-dlight,Community Solar | Photovoltaic Systems | Solar Installation | Energy Access | Sales and Marketing,False
Renewable Heat Engineer,"Join Natural Power as a Renewable Heat Engineer in Stirling or Glasgow, UK.",Natural Power,"Stirling, Scotland, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/108221-renewable-heat-engineer-natural-power,Biogas Energy | District Heating,False
Digital Specialist,"Join Cundall as a Digital Specialist in Bengaluru, India!",Cundall,"Bengaluru, India",https://rejobs.org/en/renewable-energy-jobs/108192-digital-specialist-cundall,Digital Twin | Building Energy Performance | Software Development,False
Product Designer,Join Fuse Energy as a Product Designer in London or Dubai!,Fuse Energy,"London, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/108317-product-designer-fuse-energy,Smart Energy Systems | UI/UX Design,False
Senior Staff Accountant,"Join Enviva as a Senior Staff Accountant in Franklin, Virginia!",Enviva,"Franklin, Virginia, United States",https://rejobs.org/en/renewable-energy-jobs/108121-senior-staff-accountant-enviva,Energy Asset Valuation | Energy Economics | Financial Services | Operations Management | Accounting & Finance,False
Electrical Supervisor,"Join Enviva as an Electrical Supervisor in Cottondale, Florida. Lead electrical teams and ensure safe operations.",Enviva,"Cottondale, Florida, United States",https://rejobs.org/en/renewable-energy-jobs/108127-electrical-supervisor-enviva,Bioenergy | Operations Management | Safety Management | Electrical Engineering,False
Estates Project Manager (m/w/d),"Join Boralex as an Estates Project Manager in Hampshire, UK.",Boralex,"Hampshire, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/108412-estates-project-manager-mwd-boralex,Community Energy | Energy Governance | Land Management | Project Management,False
Contract Manager,"Join NYSERDA as a Contract Manager in New York, NY, and support contracting activities in the energy sector.",NYSERDA,"New York, NY, United States",https://rejobs.org/en/renewable-energy-jobs/108270-contract-manager-nyserda,Energy Policy | Procurement | Risk Management | Project Management | Contract Management,False
Energy Analyst - Intern,"Join Natural Power as an Energy Analyst Intern in Glasgow, UK.",Natural Power,"Glasgow, Scotland, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/108217-energy-analyst-intern-natural-power,Wind Resource Assessment | Wind Turbine Technician | Energy Analytics,False
Interconnection Strategy Lead (m/w/d),Lead interconnection strategy at Solar Provider Group in Chicago.,Solar Provider Group,"Chicago, United States",https://rejobs.org/en/renewable-energy-jobs/108303-interconnection-strategy-lead-mwd-solar-provider-group,Battery Technology | EPC Management | Utility-Scale Solar | Energy Economics | Energy Policy | Project Management,False
"Director, Origination (m/w/d)","Join Terra-Gen as Director, Origination in San Diego, California!",Terra-gen,"San Diego, California, United States",https://rejobs.org/en/renewable-energy-jobs/108291-director-origination-mwd-terra-gen,Energy Policy | Power Purchase Agreement | Stakeholder Management | Business Development,False
Payments Specialist,"Join Good Energy as a Payments Specialist in Chippenham, UK.",Good Energy,"Chippenham, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/108284-payments-specialist-good-energy,Energy Access | Customer Management,False
Business Development Intern,Join PowerFlex as a Business Development Intern in New York City!,PowerFlex,"New York, NY, United States",https://rejobs.org/en/renewable-energy-jobs/108242-business-development-intern-powerflex,Photovoltaics | Energy Economics | Market Analysis | Business Development,False
Hub Operations Manager,"Join Natural Power as a Hub Operations Manager in Scotland, leading wind farm operations.",Natural Power,"Scotland, United Kingdom",https://rejobs.org/en/renewable-energy-jobs/108219-hub-operations-manager-natural-power,Onshore Wind Energy | Turbine Operations | Wind O&M | Health & Safety | Project Management | Operations Management,False
Senior Engineer HV Primary,"Join Ramboll as a Senior Engineer HV Primary in Chennai, India.",Ramboll,"Chennai, Tamil Nadu, India",https://rejobs.org/en/renewable-energy-jobs/107954-senior-engineer-hv-primary-ramboll,HVDC | Heat Pumps | Turbine Operations | High Voltage | Project Management | Electrical Engineering,False
Plant Operator - Hybrid Energy (m/w/d),"Join CrossBoundary Energy as a Plant Operator in Kolwezi, DRC.",CrossBoundary Energy,"Kolwezi, Democratic Republic of the Congo",https://rejobs.org/en/renewable-energy-jobs/108355-plant-operator-hybrid-energy-mwd-crossboundary-energy,Hybrid Power Plants | Photovoltaic Systems | Solar O&M | Safety Management | SCADA | Plant Operations,False
